Experiment, Condition, DyadID, ParticipantID,Phase,Meaning,InputSentence,RT,MeaningSelection,OutputSentence,CorrectedOutput,Grammatical,GrammaticalityJudgment,Timestamp
ISO, Morphology, NA, MI01,2wordTraining,"('jelpa', 'plain', 'two')",jelpa nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:58:52 2016
ISO, Morphology, NA, MI01,2wordTraining,"('mokte', 'plain', 'two')",mokte nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:58:56 2016
ISO, Morphology, NA, MI01,2wordTraining,"('jelpa', 'blue', 'one')",jelpa kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:59:00 2016
ISO, Morphology, NA, MI01,2wordTraining,"('mokte', 'blue', 'one')",mokte kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:59:05 2016
ISO, Morphology, NA, MI01,2wordTraining,"('mokte', 'blue', 'one')",mokte kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:59:09 2016
ISO, Morphology, NA, MI01,2wordTraining,"('jelpa', 'plain', 'two')",jelpa nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:59:13 2016
ISO, Morphology, NA, MI01,2wordTraining,"('jelpa', 'blue', 'one')",jelpa kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 09:59:18 2016
ISO, Morphology, NA, MI01,2wordTraining,"('jelpa', 'blue', 'one')",jelpa kogla,1.16,correct,NA,NA,NA,NA,Wed Jun 29 09:59:26 2016
ISO, Morphology, NA, MI01,2wordTraining,"('jelpa', 'blue', 'one')",jelpa kogla,2.31,correct,NA,NA,NA,NA,Wed Jun 29 09:59:32 2016
ISO, Morphology, NA, MI01,2wordTraining,"('mokte', 'plain', 'two')",mokte nezno,2.31,correct,NA,NA,NA,NA,Wed Jun 29 09:59:38 2016
ISO, Morphology, NA, MI01,2wordTraining,"('jelpa', 'plain', 'two')",jelpa nefri,1.16,correct,NA,NA,NA,NA,Wed Jun 29 09:59:43 2016
ISO, Morphology, NA, MI01,2wordTraining,"('mokte', 'plain', 'two')",mokte nefri,1.16,correct,NA,NA,NA,NA,Wed Jun 29 09:59:48 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'blue', 'one')",NA,3.78,NA,jelpa kogla,jelpa kogla,NA,NA,Wed Jun 29 10:00:16 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'blue', 'one')",NA,5,NA,mokte kospu,mokte kospu,NA,NA,Wed Jun 29 10:00:21 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'plain', 'two')",NA,3.84,NA,jelpa nefri,jelpa nefri,NA,NA,Wed Jun 29 10:00:25 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'plain', 'two')",NA,3.86,NA,jelpa nefri,jelpa nefri,NA,NA,Wed Jun 29 10:00:29 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'plain', 'two')",NA,10.52,NA,mokte nefri,mokte nefri,NA,NA,Wed Jun 29 10:00:39 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'plain', 'two')",NA,3.36,NA,jelpa nefri,jelpa nefri,NA,NA,Wed Jun 29 10:00:43 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'blue', 'one')",NA,3.08,NA,jelpa kogla,jelpa kogla,NA,NA,Wed Jun 29 10:00:46 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'blue', 'one')",NA,4.16,NA,mokte kogla,mokte kogla,NA,NA,Wed Jun 29 10:00:51 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'blue', 'one')",NA,7.29,NA,mokte kospu,mokte kospu,NA,NA,Wed Jun 29 10:00:58 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'plain', 'two')",NA,2.77,NA,jelpa nefri,jelpa nefri,NA,NA,Wed Jun 29 10:01:01 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'blue', 'one')",NA,3.78,NA,mokte kogla,mokte kogla,NA,NA,Wed Jun 29 10:01:05 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'blue', 'one')",NA,3.42,NA,jelpa kogla,jelpa kogla,NA,NA,Wed Jun 29 10:01:09 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'blue', 'one')",NA,3.95,NA,jelpa kogla,jelpa kogla,NA,NA,Wed Jun 29 10:01:13 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'plain', 'two')",NA,3.68,NA,mokte nefri,mokte nefri,NA,NA,Wed Jun 29 10:01:17 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'blue', 'one')",NA,4.21,NA,mokte kogla,mokte kogla,NA,NA,Wed Jun 29 10:01:21 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'plain', 'two')",NA,3.77,NA,mokte nefri,mokte nefri,NA,NA,Wed Jun 29 10:01:25 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'plain', 'two')",NA,2.64,NA,mokte nefri,mokte nefri,NA,NA,Wed Jun 29 10:01:28 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'plain', 'two')",NA,3.82,NA,jelpa nefri,jelpa nefri,NA,NA,Wed Jun 29 10:01:32 2016
ISO, Morphology, NA, MI01,testing_2w,"('mokte', 'plain', 'two')",NA,2.76,NA,mokte nefri,mokte nefri,NA,NA,Wed Jun 29 10:01:35 2016
ISO, Morphology, NA, MI01,testing_2w,"('jelpa', 'blue', 'one')",NA,3.31,NA,jelpa kogla,jelpa kogla,NA,NA,Wed Jun 29 10:01:38 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:02:22 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'one')",mokte kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:02:26 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:02:31 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:02:35 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:02:40 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'plain', 'two')",mokte nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:02:45 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:02:49 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'plain', 'two')",mokte nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:02:54 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kospu nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:02:58 2016
